"Activity Date","Organization","Contact Name / Title / Location","Activity Description","Create Date","Edit Date"
"06/23/2026","James G. Davis Construction Corporation (DAVIS)","James G. Davis Construction Corporation (DAVIS) / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","Aecon Group Inc.","Aecon Group Inc. / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","Actalent","Actalent / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","Spartech LLC","Spartech LLC / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","Ensign-Bickford Aerospace & Defense Company","Ensign-Bickford Aerospace & Defense Company / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","James G. Davis Construction Corporation (DAVIS)","James G. Davis Construction Corporation (DAVIS) / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/23/2026","James G. Davis Construction Corporation (DAVIS)","James G. Davis Construction Corporation (DAVIS) / Title not Provided","Submitted job application","06/23/2026","06/23/2026"
"06/22/2026","Ocean Spray Cranberries, Inc.","Ocean Spray Cranberries, Inc. / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","SBM Management Services LP","SBM Management Services LP / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","Element Solutions Inc (ESI)","Element Solutions Inc (ESI) / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","Alstom","Alstom / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","U.S. Department of Energy","U.S. Department of Energy / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","USAJOBS.GOV","USAJOBS.GOV / Title not Provided","Interviewed for position","06/22/2026","06/22/2026"
"06/22/2026","NAES Corporation","NAES Corporation / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/22/2026","NAES Corporation","NAES Corporation / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/21/2026","NYC Department of Environmental Protection (DEP)","NYC Department of Environmental Protection (DEP) / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/19/2026","Nucor Corporation","Nucor Corporation / Title not Provided","Interviewed for position","06/19/2026","06/19/2026"
"06/19/2026","Repligen","Repligen / Title not Provided","Submitted job application","06/22/2026","06/22/2026"
"06/18/2026","VelocityEHS","VelocityEHS / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/18/2026","RTX","RTX / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/18/2026","IBM","IBM / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/18/2026","Syracuse University","Darren Cobb / Talen Acquisition Specialist","Interviewed for position","06/19/2026","06/19/2026"
"06/17/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Interviewed for position","06/17/2026","06/17/2026"
"06/17/2026","VelocityEHS","VelocityEHS / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/17/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/17/2026","Imprint","Imprint / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/17/2026","Headway","Headway / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/17/2026","EMD Electronics","EMD Electronics / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/17/2026","Department of the Navy","Department of the Navy / Title not Provided","Submitted job application","06/19/2026","06/19/2026"
"06/16/2026","Bechtel Manufacturing & Technology, Inc.","Bechtel Manufacturing & Technology, Inc. / Title not Provided","Interviewed for position","06/17/2026","06/17/2026"
"06/16/2026","John Hancock Life Insurance Company (USA)","John Hancock Life Insurance Company (USA) / Title not Provided","Submitted job application","06/17/2026","06/17/2026"
"06/16/2026","L3Harris","L3Harris Technologies / Title not Provided","Submitted job application","06/17/2026","06/17/2026"
"06/16/2026","American Airlines","American Airlines / Title not Provided","Submitted job application","06/17/2026","06/17/2026"
"06/15/2026","L3Harris","L3Harris Technologies / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","FirstEnergy","FirstEnergy / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","MassDOT Highway Division","MassDOT Highway Division / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","RTX","RTX / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","Kiewit","Kiewit / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","Pyrotek","Pyrotek / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/15/2026","Xerox Holdings Corporation","Xerox Holdings Corporation / Title not Provided","Submitted job application","06/15/2026","06/15/2026"
"06/12/2026","Arcadis","Arcadis / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/12/2026","IBM","IBM / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/12/2026","DuPont","DuPont / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/12/2026","Constellation Energy","Constellation Energy / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/12/2026","NJ TRANSIT","NJ TRANSIT / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/12/2026","Arcadis","Arcadis / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/11/2026","Thermo Fisher Scientific","Thermo Fisher Scientific / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","ACV","ACV / Title not Provided","Submitted job application","06/14/2026","06/14/2026"
"06/11/2026","WSP USA","WSP USA / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","M&T Bank","M&T Bank / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","Moog","Moog / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","RTX","RTX / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","Corning Incorporated","Corning Incorporated / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","CR Fletcher","CR Fletcher / Title not Provided","Interviewed for position","06/11/2026","06/11/2026"
"06/11/2026","Bechtel Manufacturing & Technology, Inc.","Bechtel Manufacturing & Technology, Inc. / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/11/2026","Arcadis","Arcadis / Title not Provided","Submitted job application","06/11/2026","06/11/2026"
"06/10/2026","Bristol Myers Squibb","Bristol Myers Squibb / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","","","Other preparation activity","06/10/2026","06/10/2026"
"06/10/2026","Bechtel Manufacturing & Technology, Inc.","Bechtel Manufacturing & Technology, Inc. / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","New York Power Authority","New York Power Authority / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","NVIDIA Corporation","NVIDIA Corporation / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","New York Power Authority","New York Power Authority / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","New York State Department of Transportation (NYSDOT)","New York State Department of Transportation (NYSDOT) / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","RTX","RTX / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/10/2026","Merck & Co., Inc.","Merck & Co., Inc. / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","NJ TRANSIT","NJ TRANSIT / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","MTA","MTA / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","Amkor Technology","Amkor Technology / Title not Provided","Interviewed for position","06/10/2026","06/10/2026"
"06/09/2026","Syracuse University","Syracuse University / Title not Provided","Interviewed for position","06/10/2026","06/10/2026"
"06/09/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","Amazon","Amazon / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/09/2026","The Chemours Company","The Chemours Company / Title not Provided","Submitted job application","06/10/2026","06/10/2026"
"06/08/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Interviewed for position","06/08/2026","06/08/2026"
"06/08/2026","Department of the Army","Department of the Army / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/08/2026","AECOM","AECOM / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/08/2026","Saint-Gobain","Saint-Gobain Performance Plastics / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/08/2026","NYCTA MTA","NYCTA MTA / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/08/2026","Boeing","Boeing / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/08/2026","Zebra Technologies","Zebra Technologies / Title not Provided","Interviewed for position","06/08/2026","06/08/2026"
"06/05/2026","Eaton Corporation","Eaton Corporation / Title not Provided","Submitted job application","06/08/2026","06/08/2026"
"06/04/2026","Department of Veterans Affairs","Department of Veterans Affairs / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/04/2026","American Airlines","American Airlines / Title not Provided","Submitted job application","06/05/2026","06/05/2026"
"06/04/2026","Amkor Technology","Amkor Technology / Title not Provided","Interviewed for position","06/04/2026","06/04/2026"
"06/04/2026","WESCO","WESCO / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/04/2026","Mollenberg-Betz | Mechanical Contractors","Mollenberg-Betz | Mechanical Contractors / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/04/2026","Black & Veatch Corporation","Black & Veatch Corporation / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","onsemi","onsemi / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","DIA IIS - GEOAxIS","DOD IIS - GEOAxIS / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Department of the Air Force Air Force Materiel Command","Department of the Air Force Air Force Materiel Command / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Department of Defense, Military Treatment Facilities","Department of Defense, Military Treatment Facilities / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Clean Harbors","Clean Harbors / Title not Provided","Interviewed for position","06/04/2026","06/04/2026"
"06/03/2026","National Highway Traffic Safety Administration (NHTSA)","National Highway Traffic Safety Administration (NHTSA) / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Veolia North America","Veolia North America / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Honeywell","Honeywell International Inc. / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/03/2026","Nucor Corporation","Nucor Corporation / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/02/2026","D.A. Collins Companies","D.A. Collins Companies / Title not Provided","Submitted job application","06/02/2026","06/02/2026"
"06/02/2026","AEM Corporation","AEM Corporation / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/02/2026","Voxelmaps","Voxelmaps / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/02/2026","UST Usource","UST Usource / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/02/2026","DataAnnotation","DataAnnotation / Title not Provided","Submitted job application","06/04/2026","06/04/2026"
"06/02/2026","Washington Mills","Lauren Fobes / Senior Talent Acquisition Recruiter","Interviewed for position","06/02/2026","06/02/2026"
"06/02/2026","L3Harris Technologies, Inc","L3Harris Technologies, Inc / Title not Provided","Submitted job application","06/02/2026","06/02/2026"
"06/02/2026","Microsoft","Microsoft / Title not Provided","Submitted job application","06/02/2026","06/02/2026"
"06/02/2026","Amazon Web Services","Amazon AWS / Title not Provided","Submitted job application","06/02/2026","06/02/2026"
"06/01/2026","Insight Global","Insight Global / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","TalentBridgeX","TalentBridgeX / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Walmart","Walmart / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","RTX","RTX / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Mercer","Mercer / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Graham Company","Graham Company / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","WSP USA","WSP USA / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","WSP USA","WSP USA / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"06/01/2026","Regeneron Pharmaceuticals","Regeneron Pharmaceuticals / Title not Provided","Submitted job application","06/01/2026","06/01/2026"
"05/29/2026","Clean Harbors","Clean Harbors / Title not Provided","Interviewed for position","05/29/2026","05/29/2026"
"05/29/2026","DuPont","DuPont / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/29/2026","AECOM","AECOM / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/29/2026","Travelers Insurance Company","Travelers Insurance Company / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/29/2026","Turner & Townsend","Turner & Townsend / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/28/2026","National Grid","National Grid / Title not Provided / North Syracuse","Interviewed for position","05/29/2026","05/29/2026"
"05/26/2026","Onondaga County Water Environment Protection","Onondaga County Water Environment Protection / Title not Provided / Syracuse","Interviewed for position","05/29/2026","05/29/2026"
"05/25/2026","","","Other preparation activity","05/29/2026","05/29/2026"
"05/22/2026","Onondaga County Water Environment Protection","Onondaga County Water Environment Protection / Title not Provided / Syracuse","Submitted job application","05/29/2026","05/29/2026"
"05/22/2026","Accenture","Accenture / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/22/2026","Marsh McLennan","Marsh McLennan / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/22/2026","Lockheed Martin","Lockheed Martin / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/22/2026","Orange & Rockland Utilities Inc.","Orange & Rockland Utilities Inc. / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/21/2026","","","Other preparation activity","05/29/2026","05/29/2026"
"05/20/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","05/29/2026","05/29/2026"
"05/20/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","05/29/2026","05/29/2026"
"05/20/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","05/29/2026","05/29/2026"
"05/20/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","05/29/2026","05/29/2026"
"05/19/2026","Amazon","Amazon / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/19/2026","HII","Huntington Ingalls Industries / Title not Provided","Other employer contact","05/29/2026","05/29/2026"
"05/19/2026","L3Harris Technologies, Inc","L3Harris Technologies, Inc / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/19/2026","USAJOBS.GOV","USAJOBS.GOV / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/19/2026","Saint-Gobain","Saint-Gobain Performance Plastics / Title not Provided","Submitted job application","05/29/2026","05/29/2026"
"05/18/2026","AECOM","AECOM / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/18/2026","IBM","IBM / Title not Provided","Interviewed for position","05/18/2026","05/18/2026"
"05/18/2026","Uline, Inc.","Uline, Inc. / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/18/2026","Wollaston Alloys / CPP Boston","Wollaston Alloys / CPP Boston / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/18/2026","New York Power Authority","New York Power Authority / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/18/2026","DCS Corporation","DCS Corporation / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/16/2026","","","Other preparation activity","05/29/2026","05/29/2026"
"05/15/2026","HII","Huntington Ingalls Industries / Title not Provided","Interviewed for position","05/29/2026","05/29/2026"
"05/14/2026","Bechtel Manufacturing & Technology, Inc.","Bechtel Manufacturing & Technology, Inc. / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/14/2026","Onondaga County Water Environment Protection","Onondaga County Water Environment Protection / Title not Provided / Syracuse","Submitted job application","05/18/2026","05/18/2026"
"05/14/2026","Ball Corporation","Ball Corporation / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/14/2026","Bechtel Manufacturing & Technology, Inc.","Bechtel Manufacturing & Technology, Inc. / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/12/2026","Oracle","Oracle / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/12/2026","WSP USA","WSP USA / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/12/2026","Actalent","Actalent / Title not Provided","Submitted job application","05/18/2026","05/18/2026"
"05/12/2026","Washington Mills","Lauren Fobes / Senior Talent Acquisition Recruiter","Submitted job application","05/18/2026","05/18/2026"
"05/11/2026","Henkel","Henkel / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/11/2026","Jacobs","Jacobs / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/11/2026","Sunrun","Sunrun / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","RTX","RTX / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","M&T Bank","M&T Bank / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","Travelers Insurance Company","Travelers Insurance Company / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","Arcadis","Arcadis / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","BSI","BSI / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","Noblis","Noblis / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","Amazon","Amazon / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","RTX","RTX / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/06/2026","Hubbell Incorporated","Hubbell Incorporated / Title not Provided","Submitted job application","05/11/2026","05/11/2026"
"05/05/2026","Keurig Dr Pepper","Keurig Dr Pepper / Title not Provided","Submitted job application","05/05/2026","05/05/2026"
"05/05/2026","Regeneron Pharmaceuticals","Regeneron Pharmaceuticals / Title not Provided","Submitted job application","05/05/2026","05/05/2026"
"05/04/2026","Lockheed Martin","Lockheed Martin / Title not Provided","Submitted job application","05/05/2026","05/05/2026"
"05/01/2026","Tesla","Tesla / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"05/01/2026","Clean Harbors","Clean Harbors / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"05/01/2026","Byrne Dairy","Byrne Dairy / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"05/01/2026","Tesla","Tesla / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"05/01/2026","Tesla","Tesla / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"05/01/2026","Tesla","Tesla / Title not Provided","Submitted job application","05/01/2026","05/01/2026"
"04/29/2026","Syracuse University","Syracuse University / Title not Provided","Submitted job application","04/29/2026","04/29/2026"
"04/29/2026","","","Submitted job application","04/29/2026","04/29/2026"
"04/29/2026","SAMCO","SAMCO / Title not Provided","Submitted job application","04/30/2026","04/30/2026"
"04/29/2026","GEM Technology","GEM Technology / Title not Provided","Submitted job application","04/30/2026","04/30/2026"
"04/29/2026","Sorensen Gross Construction Services","Sorensen Gross Construction Services / Title not Provided","Submitted job application","04/30/2026","04/30/2026"
"04/29/2026","Weston Solutions, Inc","Weston Solutions, Inc / Title not Provided","Submitted job application","04/30/2026","04/30/2026"
"04/29/2026","New York Power Authority","New York Power Authority / Title not Provided","Submitted job application","04/29/2026","04/29/2026"
"04/28/2026","","","Other preparation activity","05/29/2026","05/29/2026"
"04/27/2026","Amazon","Amazon / Title not Provided","Submitted job application","04/27/2026","04/27/2026"
"04/27/2026","Sevenson Environmental Services (SES)","Sevenson Environmental Services (SES) / Title not Provided","Submitted job application","04/27/2026","04/27/2026"
"04/27/2026","KALCON","KALCON / Title not Provided","Submitted job application","04/27/2026","04/27/2026"
"04/27/2026","Apple Inc.","Apple Inc. / Title not Provided","Sent resume","04/27/2026","04/27/2026"
"04/24/2026","Takeda Pharmaceuticals","Takeda Pharmaceuticals / Title not Provided","Submitted job application","04/24/2026","04/24/2026"
"04/23/2026","Zebra Technologies","Zebra Technologies / Title not Provided","Submitted job application","04/23/2026","04/23/2026"
"04/23/2026","NRG Energy","NRG Energy / Title not Provided","Submitted job application","04/23/2026","04/23/2026"
"04/22/2026","Saint-Gobain","Saint-Gobain Performance Plastics / Title not Provided","Submitted job application","04/23/2026","04/23/2026"
"04/22/2026","Micron","Micron / Title not Provided","Submitted job application","04/23/2026","04/23/2026"
"04/21/2026","Amazon","Amazon / Title not Provided","Submitted job application","04/21/2026","04/21/2026"
"04/21/2026","IBM Finance & Operations","IBM Finance & Operations / Title not Provided","Submitted job application","04/21/2026","04/21/2026"
"04/21/2026","National Grid","National Grid / Title not Provided / North Syracuse","Submitted job application","04/21/2026","04/21/2026"
"04/20/2026","NT Concepts","NT Concepts / Title not Provided","Interviewed for position","04/21/2026","04/21/2026"
"04/16/2026","Amrize","Amrize / Title not Provided","Interviewed for position","04/16/2026","04/16/2026"
"04/15/2026","Howmet Aerospace","Lynn Marie Feoranz / HR Recruiter","Interviewed for position","04/15/2026","04/15/2026"
"04/14/2026","NT Concepts","NT Concepts / Title not Provided","Interviewed for position","04/14/2026","04/14/2026"
"04/14/2026","Whitcraft LLC dba Pursuit Aerospace","Whitcraft LLC dba Pursuit Aerospace / Title not Provided","Interviewed for position","04/14/2026","04/14/2026"
"04/13/2026","Whitcraft LLC dba Pursuit Aerospace","Whitcraft LLC dba Pursuit Aerospace / Title not Provided","Interviewed for position","04/13/2026","04/13/2026"
"04/13/2026","Henkel","Henkel / Title not Provided","Submitted job application","04/13/2026","04/13/2026"
"04/13/2026","United Rentals","United Rentals / Title not Provided","Submitted job application","04/13/2026","04/13/2026"
"04/13/2026","EMCOR Group Inc","EMCOR Group Inc / Title not Provided","Submitted job application","04/13/2026","04/13/2026"
"04/13/2026","GE Aerospace","GE Aerospace / Title not Provided","Submitted job application","04/13/2026","04/21/2026"
"04/13/2026","Precious Plate","Precious Plate / Title not Provided","Submitted job application","04/13/2026","04/13/2026"
"04/10/2026","Cimolai-HY LLC!","Cimolai-HY LLC! / Title not Provided","Interviewed for position","04/10/2026","04/10/2026"
"04/10/2026","Sabin Metal Corporation","Sabin Metal Corporation / Title not Provided","Submitted job application","04/10/2026","04/10/2026"
"04/10/2026","TE Connectivity","TE Connectivity / Title not Provided","Submitted job application","04/10/2026","04/10/2026"
"04/10/2026","SUNY Oswego","SUNY Oswego / Title not Provided","Submitted job application","04/10/2026","04/10/2026"
"04/10/2026","New York Power Authority","New York Power Authority / Title not Provided","Submitted job application","04/10/2026","04/10/2026"
"04/10/2026","Antech","Antech / Title not Provided","Submitted job application","04/10/2026","04/10/2026"
"04/09/2026","Xylem","Xylem Inc. / Title not Provided","Interviewed for position","04/10/2026","04/10/2026"
"04/08/2026","WSP USA","WSP USA / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","Carrington","Carrington / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","Safety Partners","Safety Partners / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","Lila","Lila / Title not Provided","Submitted job application","04/08/2026","04/21/2026"
"04/08/2026","A.W. Chesterton Company","A.W. Chesterton Company / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","Triumvirate Environmental","Triumvirate Environmental / Title not Provided","Submitted job application","04/08/2026","04/13/2026"
"04/08/2026","O-I","O-I / Title not Provided","Submitted job application","04/08/2026","04/15/2026"
"04/08/2026","Merck & Co., Inc.","Merck & Co., Inc. / Title not Provided","Interviewed for position","04/08/2026","04/08/2026"
"04/08/2026","NT Concepts","NT Concepts / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","Amazon","Amazon / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","O-I","O-I / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","RTX","RTX / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
"04/08/2026","LG Energy Solution Michigan Inc.","LG Energy Solution Michigan Inc. / Title not Provided","Submitted job application","04/08/2026","04/08/2026"
